9523 266.0 3.7
9550 260.9 3.7
9584 264.1 4.7
9613 270.9 3.3
9670 263.3 3.7
9734 259.5 3.3
9760 258.0 5.1
9788 256.8 3.3
9818 254.7 3.7
9850 254.8 3.2
10007 245.2 3.2
10034 248.5 3.2
10067 249.2 3.8
10123 241.3 3.2
10218 235.5 3.4
10260 233.6 3.7
10281 227.4 3.7
10308 233.9 3.3
10401 235.6 3.7
10474 235.0 3.7
10531 221.2 3.7
10623 217.5 3.3
10644 230.3 3.8
10737 214.0 3.8
10799 214.5 3.8
10824 238.0 4.4
10862 208.1 3.5
10924 206.9 2.7
10945 216.8 3.3
11007 206.9 3.3
11057 209.8 3.8
11157 216.1 9.4
11191 212.4 6.4
11222 202.8 6.4
11276 203.5 4.8
11306 205.1 4.8
11345 204.6 3.8
11380 203.3 6.4
11425 199.4 5.5
11430 189.1 6.3
11457 183.5 7.2
11528 194.5 4.9
11557 188.3 4.1
11585 200.5 4.1
11613 193.8 4.8
11647 190.9 4.8
11676 189.2 4.8
11704 186.5 4.8
11830 185.8 4.8
11860 176.3 5.4
12259 175.7 6.4
12294 176.1 6.7
12329 167.3 5.9
12363 178.4 7.9
12396 178.6 3.2
12417 169.2 3.5
12460 175.4 3.6
12480 167.2 3.8
12543 196.1 3.6
12572 162.8 3.5
12607 164.5 3.5
12644 164.6 3.8
12668 160.5 3.8
12740 194.0 3.9
12776 161.0 3.8
12816 154.0 3.9
12846 173.7 3.5
12908 164.1 3.8
12989 160.4 3.9
13025 159.0 4.7
13057 162.3 3.3
13110 162.9 4.8
13144 162.9 3.5
13174 154.1 3.8
13209 157.2 4.1
13238 169.0 3.6
13280 164.9 11.9
13301 163.0 6.7
13330 164.2 3.4
13359 162.6 5.7
13403 158.5 3.3
13421 155.3 3.5
13448 162.6 2.9
13498 149.8 3.6
13554 155.9 4.5
13580 156.5 3.2
13622 161.4 2.7
13645 165.6 3.2
13727 160.9 6.0
13762 139.0 4.5
13807 149.2 4.8
13942 140.3 2.9
13978 132.6 3.5
14021 135.0 3.7
14076 125.6 3.1
